equipment,model,sub_model,manufacturer,losses_total,abandoned,abandoned and destroyed,captured,captured and destroyed,captured and stripped,damaged,damaged and abandoned,damaged and captured,damaged by Bayraktar TB2,destroyed,destroyed by Bayraktar TB2,sunk
Engineering Vehicles And Equipment,BAT-2 heavy engineering vehicle,,the Soviet Union,4,,,2.0,,,,,,,2.0,,
Engineering Vehicles And Equipment,MDK-3 trench-digging vehicle,,the Soviet Union,1,,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,BTS-4A armoured recovery vehicle,,the Soviet Union,1,,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,BREM-1 armoured recovery vehicle,,the Soviet Union,9,2.0,,7.0,,,,,,,,,
Engineering Vehicles And Equipment,BREM-2 armoured recovery vehicle,,the Soviet Union,1,,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,BREM-Ch ''BREM-4'' armoured recovery vehicle,,the Czech Republic,5,1.0,,1.0,,,,,,,3.0,,
Engineering Vehicles And Equipment,BREM-K armoured recovery vehicle,,Russia,2,,,2.0,,,,,,,,,
Engineering Vehicles And Equipment,REM-KL armoured recovery vehicle,,Russia,3,,,1.0,,,,,,,2.0,,
Engineering Vehicles And Equipment,IMR-2(M) combat engineering vehicle,,the Soviet Union,9,2.0,1.0,5.0,,,,,,,1.0,,
Engineering Vehicles And Equipment,IMR-3M combat engineering vehicle,,Russia,1,,,,,,,,1.0,,,,
Engineering Vehicles And Equipment,PTS-3  tracked amphibious transport,,the Soviet Union,7,4.0,,1.0,,,,,,,2.0,,
Engineering Vehicles And Equipment,TMM-3 bridge layer,,the Soviet Union,23,2.0,,13.0,,,,1.0,3.0,,4.0,,
Engineering Vehicles And Equipment,MTU-72 bridge layer,,Russia,1,,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,PMP floating bridge,,the Soviet Union,9,1.0,,2.0,,,,,,,6.0,,
Engineering Vehicles And Equipment,PP-2005 floating bridge,,Russia,9,2.0,,1.0,,,,1.0,,,5.0,,
Engineering Vehicles And Equipment,Pontoon bridge,,Russia,11,1.0,,4.0,,,,,,,6.0,,
Engineering Vehicles And Equipment,BMK-130M/BMK-150 towing and motor boat,,the Soviet Union,4,3.0,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,BMK-460 towing and motor boat,,the Soviet Union,3,2.0,,,,,,,,,1.0,,
Engineering Vehicles And Equipment,KamAZ-5350 with EOV-3523 excavator,,Russia,6,,,4.0,,,,,,,1.0,1.0,
Engineering Vehicles And Equipment,KamAZ-5350 with KS-45719-7M crane,,Russia,4,,,1.0,,,,,,,3.0,,
Engineering Vehicles And Equipment,KamAZ-5350 with crane,,Russia,1,,,,,,,,,,1.0,,
Engineering Vehicles And Equipment,KrAZ-255B with excavator,,the Soviet Union,2,,,1.0,,,,,,,1.0,,
Engineering Vehicles And Equipment,Ural-4320 with excavator,,Russia,1,,,,,,,,,,1.0,,
Engineering Vehicles And Equipment,Ural-4320 KET-L,,Russia,1,,,,,,,,1.0,,,,
Engineering Vehicles And Equipment,Ural-4320 KT-L,,Russia,3,,,2.0,,,,,,,1.0,,
Engineering Vehicles And Equipment,Ural-4320 recovery vehicle,,Russia,1,,,,,,,,,,1.0,,
Engineering Vehicles And Equipment,Ural-4320 with crane,,Russia,2,,,1.0,,,,,,,1.0,,
Self-Propelled Anti-Tank Missile Systems,9P148 Konkurs,,the Soviet Union,1,,,,,,,,,,1.0,,
Self-Propelled Anti-Tank Missile Systems,9P149 Shturm-S,,the Soviet Union,12,3.0,,5.0,,,,,,,4.0,,
Self-Propelled Anti-Tank Missile Systems,9P163M-1 Kornet-T,,Russia,1,,,,,,,,,,1.0,,
Heavy Mortars,120mm 2B11/2S12,,the Soviet Union,12,,,7.0,,,,,,,5.0,,
Heavy Mortars,120mm 2B11/2S12A,,Russia,1,,,1.0,,,,,,,,,
Towed Artillery,100mm MT-12 anti-tank gun,,the Soviet Union,2,,,1.0,,,,,,,1.0,,
Towed Artillery,120mm 2B16 Nona-K howitzer,,the Soviet Union,7,3.0,,3.0,,,,,1.0,,,,
Towed Artillery,122mm D-30 howitzer 2A18,,the Soviet Union,27,2.0,,24.0,,,,,,,1.0,,
Towed Artillery,152mm 2A65 Msta-B howitzer,,the Soviet Union,25,1.0,,9.0,,,2.0,,,1.0,8.0,3.0,
Self-Propelled Artillery,120mm 2S9 Nona,,the Soviet Union,8,1.0,,4.0,,,,,,,3.0,,
Self-Propelled Artillery,120mm 2S23 Nona-SVK,,Russia,1,,,1.0,,,,,,,,,
Self-Propelled Artillery,120mm 2S34 Khosta,,Russia,2,,,2.0,,,,,,,,,
Self-Propelled Artillery,122mm 2S1 Gvozdika,,the Soviet Union,13,1.0,,3.0,,,,,,,9.0,,
Self-Propelled Artillery,152mm 2S3 Akatsiya,,the Soviet Union,36,6.0,,10.0,,,1.0,,,,19.0,,
Self-Propelled Artillery,152mm 2S19 Msta-S,,the Soviet Union,52,8.0,3.0,21.0,,,,1.0,,,19.0,,
Self-Propelled Artillery,152mm 2S33 Msta-SM2,,Russia,3,,,3.0,,,,,,,,,
Self-Propelled Artillery,Unknown SPG,,Russia,1,,,,,,1.0,,,,,,
Multiple Rocket Launchers,122mm BM-21 Grad,,the Soviet Union,45,3.0,1.0,18.0,,,,,4.0,,19.0,,
Multiple Rocket Launchers,220mm BM-27 Uragan,,the Soviet Union,11,,,2.0,2.0,,,,,,6.0,1.0,
Multiple Rocket Launchers,122mm 2B17 Tornado-G,,Russia,5,,,2.0,,,,,,,3.0,,
Multiple Rocket Launchers,220mm TOS-1A,,Russia,6,,,3.0,,,1.0,,2.0,,,,
Anti-Aircraft Guns,23mm ZU-23,,the Soviet Union,6,,,4.0,,,,,,,,2.0,
Self-Propelled Anti-Aircraft Guns,BTR-ZD 'Skrezhet',,the Soviet Union,3,,,2.0,,,,,,,1.0,,
Self-Propelled Anti-Aircraft Guns,ZSU-23-4 'Shilka',,the Soviet Union,4,,,3.0,,,,,1.0,,,,
Self-Propelled Anti-Aircraft Guns,2K22M1 Tunguska,,Russia,8,1.0,5.0,,,,,1.0,1.0,,,,
Surface-To-Air Missile Systems,9K33 Osa,,the Soviet Union,6,1.0,,2.0,,,,1.0,,,2.0,,
Surface-To-Air Missile Systems,9K35 Strela-10,,the Soviet Union,13,3.0,,4.0,,,,,,,5.0,1.0,
Surface-To-Air Missile Systems,9A310M1-2 TELAR (for Buk-M1-2),,Russia,3,,,,,,1.0,,,,1.0,1.0,
Surface-To-Air Missile Systems,9A39M1-2 TEL (for Buk-M1-2),,Russia,5,,,,,,,,,,4.0,1.0,
Surface-To-Air Missile Systems,9A317 TELAR (for Buk-M2),,Russia,6,,,1.0,,,,,,,1.0,4.0,
Surface-To-Air Missile Systems,9A316 TEL (for Buk-M2),,Russia,4,,,3.0,,,,,,,,1.0,
Surface-To-Air Missile Systems,Unknown Buk SAM system,,Russia,4,,,,,,,,,,4.0,,
Surface-To-Air Missile Systems,9A330 Tor TLAR (for 9K330 Tor),,the Soviet Union,8,1.0,,3.0,,,,1.0,3.0,,,,
Surface-To-Air Missile Systems,9A331 TLAR (for 9K331 Tor-M1),,Russia,4,,1.0,1.0,,,,,,,,2.0,
Surface-To-Air Missile Systems,9A331M TLAR (for 9K332 Tor-M2),,Russia,2,,,1.0,,,,,,,,1.0,
Surface-To-Air Missile Systems,Unknown Tor SAM system,,Russia,1,,,,,,,,,,1.0,,
Surface-To-Air Missile Systems,Pantsir-S1,,Russia,7,,1.0,2.0,,,,,1.0,,2.0,1.0,
Radars,9S36 (for Buk-M2),,Russia,2,,,1.0,,,,,,,1.0,,
Radars,9S18М1(-2) (for Buk-M2),,Russia,1,,,1.0,,,,,,,,,
Radars,9S18М1(-3) (for Buk-M3),,Russia,1,,,,,,,,,,1.0,,
Radars,PPRU-1(M) '9S80(-1)' 'Sborka' (for 9K35 Strela-10),,Russia,2,,,1.0,,,,,,,1.0,,
Radars,Fara ground surveillance radar,,Russia,1,,,1.0,,,,,,,,,
Radars,SNAR-10M1 battlefield surveillance radar,,Russia,1,,,1.0,,,,,,,,,
Radars,1L261 (for 1L260 Zoopark-1M counter-battery radar complex),,Russia,2,,,1.0,,,,,,,1.0,,
Jammers And Deception Systems,R-330BMV Borisoglebsk-2B,,Russia,4,,,1.0,,,1.0,,,,2.0,,
Jammers And Deception Systems,R-330ZH Zhitel,,Russia,2,,,,,,,,,,2.0,,
Jammers And Deception Systems,1L262E Rtut-BM,,Russia,1,,,,,,,,,,1.0,,
Jammers And Deception Systems,Torn(-MDM),,Russia,1,,,1.0,,,,,,,,,
Jammers And Deception Systems,1RL257 Krasukha-4 (command post),,Russia,1,,,1.0,,,,,,,,,
Aircraft,Su-25 close air support aircraft,,the Soviet Union,9,,,,,,1.0,,,,8.0,,
Aircraft,Su-30SM multirole aircraft,,Russia,5,,,,,,,,,,5.0,,
Aircraft,Su-35S multirole aircraft,,Russia,1,,,,,,,,,,1.0,,
Aircraft,Su-34 strike aircraft,,Russia,9,,,,,,,,,,9.0,,
Aircraft,An-26 transport aircraft,,the Soviet Union,1,,,,,,,,,,1.0,,
Aircraft,Unknown aircraft,,Russia,1,,,,,,,,,,1.0,,
Helicopters,Mi-8 transport helicopter,,Russia,12,,1.0,,,,,,,,8.0,3.0,
Helicopters,Mi-24P attack helicopter,,the Soviet Union,3,,,,,,,,,,3.0,,
Helicopters,Mi-35M attack helicopter,,Russia,3,,,,,,,,,,3.0,,
Helicopters,Unknown Mi-24/35 attack helicopter,,Russia,1,,,,,,1.0,,,,,,
Helicopters,Mi-28 attack helicopter,,Russia,5,,,,,,,,,,5.0,,
Helicopters,Ka-52 'Alligator' attack helicopter,,Russia,13,,2.0,,,,,,1.0,,8.0,2.0,
Helicopters,Unknown helicopter,,Russia,5,,,,,,,,,,,5.0,
Unmanned Aerial Vehicles,Forpost reconnaissance UAV,,Israel,1,,,,,,,,,,1.0,,
Unmanned Aerial Vehicles,Orion UCAV,,Russia,1,,,,,,,,,,1.0,,
Unmanned Aerial Vehicles,Orlan-10 reconnaissance UAV,,Russia,49,,,19.0,,,,,,,30.0,,
Unmanned Aerial Vehicles,Orlan-10 jamming UAV,,Russia,1,,,1.0,,,,,,,,,
Unmanned Aerial Vehicles,'Orlan-20' reconnaissance UAV,,Russia,2,,,1.0,,,,,,,1.0,,
Unmanned Aerial Vehicles,Orlan-30 reconnaissance UAV,,Russia,2,,,,,,,,,,2.0,,
Unmanned Aerial Vehicles,Eleron-3 reconnaissance UAV,,Russia,7,,,6.0,,,,,,,1.0,,
Unmanned Aerial Vehicles,Takhion reconnaissance UAV,,Russia,2,,,2.0,,,,,,,,,
Unmanned Aerial Vehicles,ZALA 421-16Е2 reconnaissance UAV,,Russia,3,,,1.0,,,,,,,2.0,,
Unmanned Aerial Vehicles,E95M target drone (likely used as unmanned bait in order for Ukraine to reveal the location of air defence systems),,Russia,1,,,1.0,,,,,,,,,
Unmanned Aerial Vehicles,"KBLA-IVT target drone (likely used as unmanned bait in order 
for Ukraine to reveal the location of air defence systems)",,Russia,1,,,,,,,,,,1.0,,
Naval Ships,Project 1164 Slava class guided missile cruiser 'Moskva',,the Soviet Union,1,,,,,,,,,,,,1.0
Naval Ships,Project 03160 Raptor class patrol boat,,Russia,5,,,,,,1.0,,,,,4.0,
Naval Ships,Project 1171 Tapir class landing ship 'Saratov (BDK-65)',,the Soviet Union,1,,,,,,,,,,1.0,,
Naval Ships,Project 775 Ropucha class landing ship,,Poland,1,,,,,,1.0,,,,,,
Naval Ships,Project 11770 Serna class landing craft,,Russia,1,,,,,,,,,,,1.0,
Logistics Trains,Fuel train,,Russia,2,,,,,,,,,,,2.0,
"Trucks, Vehicles and Jeeps",GAZ-66,,the Soviet Union,12,1.0,,5.0,1.0,,,,,,5.0,,
"Trucks, Vehicles and Jeeps",KrAZ-255B,,the Soviet Union,3,,,2.0,,,,,,,1.0,,
"Trucks, Vehicles and Jeeps",KrAZ-255B tanker,,the Soviet Union,1,,,,,,,,,,1.0,,
"Trucks, Vehicles and Jeeps",ZiL-131,,the Soviet Union,7,2.0,,,,,,,1.0,,4.0,,
"Trucks, Vehicles and Jeeps",9T452 transporter-loader (for BM-27 'Uragan' MRL),,the Soviet Union,13,,,5.0,,,,,,,8.0,,
"Trucks, Vehicles and Jeeps",9T217 transloader (for 9K33 Osa),,the Soviet Union,2,,,1.0,,,,,,,1.0,,
"Trucks, Vehicles and Jeeps",9T244 transloader (for 9A330/1 Tor),,Russia,2,,,,,,,,1.0,,1.0,,
"Trucks, Vehicles and Jeeps",GAZ-3308,,Russia,3,3.0,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",GAZ Sobol,,Russia,2,1.0,,,,,,,,,1.0,,
"Trucks, Vehicles and Jeeps",Ural-375D,,the Soviet Union,2,,,,,,,,,,2.0,,
"Trucks, Vehicles and Jeeps",Ural-4320,,Russia,157,14.0,,63.0,,,2.0,1.0,,,70.0,7.0,
"Trucks, Vehicles and Jeeps",Ural-4320 tanker,,Russia,62,1.0,,30.0,,,,,1.0,,30.0,,
"Trucks, Vehicles and Jeeps",Ural-43206,,Russia,44,2.0,,19.0,,,,2.0,,,21.0,,
"Trucks, Vehicles and Jeeps",Ural Federal,,Russia,13,3.0,,2.0,,,,,,,8.0,,
"Trucks, Vehicles and Jeeps",Ural-5323,,Russia,1,,,1.0,,,,,,,,,
"Trucks, Vehicles and Jeeps",Ural-63704-0010 Tornado-U,,Russia,4,1.0,,3.0,,,,,,,,,
"Trucks, Vehicles and Jeeps",Ural-542301 tank transporter,,Russia,2,1.0,,1.0,,,,,,,,,
"Trucks, Vehicles and Jeeps",TZ-500 tanker,,the Soviet Union,1,,,,,,,,,,1.0,,
"Trucks, Vehicles and Jeeps",KamAZ 4x4,,Russia,6,1.0,,3.0,,,,,,,2.0,,
"Trucks, Vehicles and Jeeps",KamAZ 6x6,,Russia,202,16.0,,73.0,,,2.0,1.0,12.0,,93.0,5.0,
"Trucks, Vehicles and Jeeps",KamAZ 6x6,with ZU-23 AA gun,Russia,4,,,3.0,,,,,,,1.0,,
"Trucks, Vehicles and Jeeps",KamAZ 6x6 tanker,,Russia,49,2.0,,22.0,,,1.0,,2.0,,22.0,,
"Trucks, Vehicles and Jeeps",KamAZ 8x8,,Russia,11,,,1.0,,,,,1.0,,9.0,,
"Trucks, Vehicles and Jeeps",KamAZ Avtozaks,,Russia,14,4.0,,2.0,,,,,,,8.0,,
"Trucks, Vehicles and Jeeps",KamAZ with armoured cabin,,Russia,6,2.0,,3.0,,,,,,,1.0,,
"Trucks, Vehicles and Jeeps",KamAZ-6350 8x8 artillery tractor,,Russia,5,,,,,,,,,2.0,1.0,2.0,
"Trucks, Vehicles and Jeeps",Civilian KamAZ 6x6 converted for military use,,Russia,3,,,2.0,,,,,,,1.0,,
"Trucks, Vehicles and Jeeps",UAZ-469,,the Soviet Union,5,1.0,,2.0,,,,,,,2.0,,
"Trucks, Vehicles and Jeeps",UAZ-452,,the Soviet Union,6,,,1.0,,,,,,,5.0,,
"Trucks, Vehicles and Jeeps",UAZ Patriot,,Russia,2,,,,,,,1.0,,,1.0,,
"Trucks, Vehicles and Jeeps",UAZ-23632,,Russia,3,,,3.0,,,,,,,,,
"Trucks, Vehicles and Jeeps",UAZ-23632-148-64 armed pickup truck,,Russia,2,,,,,,,,,,2.0,,
"Trucks, Vehicles and Jeeps",Armoured SUV,,Russia,1,,,,,,,,1.0,,,,
"Trucks, Vehicles and Jeeps",(Unknown) truck,,Russia,254,1.0,,10.0,1.0,,6.0,2.0,,,225.0,9.0,
"Trucks, Vehicles and Jeeps",(Unknown) vehicle,,Russia,56,2.0,,1.0,,,6.0,,,,47.0,,
